hour,day,total_injured
0,1,291
1,1,114
2,1,117
3,1,75
4,1,118
5,1,110
6,1,201
7,1,289
8,1,503
9,1,420
10,1,336
11,1,380
12,1,382
13,1,466
14,1,450
15,1,509
16,1,630
17,1,601
18,1,488
19,1,412
20,1,395
21,1,343
22,1,263
23,1,208
0,2,267
1,2,101
2,2,74
3,2,53
4,2,78
5,2,99
6,2,227
7,2,333
8,2,575
9,2,419
10,2,391
11,2,362
12,2,363
13,2,378
14,2,541
15,2,529
16,2,539
17,2,665
18,2,559
19,2,496
20,2,414
21,2,305
22,2,314
23,2,229
0,3,250
1,3,97
2,3,76
3,3,41
4,3,75
5,3,86
6,3,213
7,3,326
8,3,484
9,3,418
10,3,317
11,3,403
12,3,437
13,3,429
14,3,508
15,3,507
16,3,559
17,3,665
18,3,600
19,3,466
20,3,433
21,3,382
22,3,336
23,3,219
0,4,269
1,4,101
2,4,94
3,4,76
4,4,66
5,4,73
6,4,197
7,4,367
8,4,545
9,4,400
10,4,408
11,4,362
12,4,402
13,4,420
14,4,515
15,4,517
16,4,550
17,4,624
18,4,588
19,4,534
20,4,406
21,4,337
22,4,283
23,4,266
0,5,302
1,5,148
2,5,94
3,5,93
4,5,107
5,5,145
6,5,236
7,5,310
8,5,492
9,5,376
10,5,325
11,5,401
12,5,409
13,5,465
14,5,623
15,5,618
16,5,662
17,5,606
18,5,665
19,5,496
20,5,484
21,5,428
22,5,390
23,5,376
0,6,408
1,6,264
2,6,262
3,6,228
4,6,262
5,6,185
6,6,179
7,6,151
8,6,180
9,6,249
10,6,280
11,6,322
12,6,379
13,6,449
14,6,509
15,6,455
16,6,452
17,6,535
18,6,514
19,6,449
20,6,436
21,6,433
22,6,417
23,6,417
0,7,381
1,7,336
2,7,251
3,7,215
4,7,318
5,7,278
6,7,168
7,7,139
8,7,137
9,7,146
10,7,245
11,7,310
12,7,369
13,7,410
14,7,424
15,7,443
16,7,476
17,7,450
18,7,511
19,7,430
20,7,397
21,7,385
22,7,322
23,7,286
